benchmark,threads,mode,ops_per_sec,micros_per_op
fillrandom,1,native,507872,1.969
fillrandom,1,lhandoff,475285,2.104
fillrandom,2,native,104821,9.540
fillrandom,2,lhandoff,153139,6.530
fillrandom,4,native,31851,31.396
fillrandom,4,lhandoff,46544,21.485
fillrandom,8,native,20845,47.972
fillrandom,8,lhandoff,19843,50.394
fillrandom,16,native,7134,140.168
fillrandom,16,lhandoff,8813,113.466
fillrandom,32,native,4154,240.709
fillrandom,32,lhandoff,4490,222.699
fillrandom,64,native,2260,442.394
fillrandom,64,lhandoff,2507,398.780
fillrandom,128,native,1047,954.642
fillrandom,128,lhandoff,1194,836.851
fillrandom,256,native,475,2102.535
fillrandom,256,lhandoff,580,1721.251
readrandom,1,native,382995,2.611
readrandom,1,lhandoff,348675,2.868
readrandom,2,native,252908,3.954
readrandom,2,lhandoff,227842,4.389
readrandom,4,native,101091,9.892
readrandom,4,lhandoff,137854,7.254
readrandom,8,native,56570,17.677
readrandom,8,lhandoff,93361,10.711
readrandom,16,native,43546,22.964
readrandom,16,lhandoff,70596,14.165
readrandom,32,native,23645,42.291
readrandom,32,lhandoff,36764,27.200
readrandom,64,native,11436,87.436
readrandom,64,lhandoff,19332,51.727
readrandom,128,native,5694,175.599
readrandom,128,lhandoff,9933,100.666
readrandom,256,native,2773,360.543
readrandom,256,lhandoff,4944,202.254
