benchmark,threads,mode,ops_per_sec,micros_per_op
fillrandom,1,native,513347,1.948
fillrandom,1,lhandoff,429368,2.329
fillrandom,2,native,109769,9.110
fillrandom,2,lhandoff,173822,5.753
fillrandom,4,native,51427,19.445
fillrandom,4,lhandoff,46108,21.688
fillrandom,8,native,23693,42.205
fillrandom,8,lhandoff,18739,53.362
fillrandom,16,native,7691,130.010
fillrandom,16,lhandoff,9713,102.953
fillrandom,32,native,4003,249.774
fillrandom,32,lhandoff,5052,197.909
fillrandom,64,native,2217,450.906
fillrandom,64,lhandoff,2393,417.766
fillrandom,128,native,1014,985.463
fillrandom,128,lhandoff,1195,836.732
fillrandom,256,native,485,2060.103
fillrandom,256,lhandoff,621,1608.538
readrandom,1,native,390472,2.561
readrandom,1,lhandoff,368052,2.717
readrandom,2,native,278318,3.593
readrandom,2,lhandoff,236686,4.225
readrandom,4,native,134228,7.450
readrandom,4,lhandoff,141063,7.089
readrandom,8,native,58575,17.072
readrandom,8,lhandoff,92327,10.831
readrandom,16,native,40009,24.994
readrandom,16,lhandoff,64114,15.597
readrandom,32,native,22823,43.815
readrandom,32,lhandoff,36271,27.570
readrandom,64,native,11647,85.857
readrandom,64,lhandoff,17466,57.251
readrandom,128,native,5583,179.106
readrandom,128,lhandoff,9796,102.079
readrandom,256,native,2762,362.048
readrandom,256,lhandoff,4817,207.590
